0.1	0	-1.429	-1.205	0	1.149	0	-1.163	-2.326	-1.266	-6.818	-3.371
0.2	0	-1.429	-1.205	0	1.149	0	-1.163	-2.326	-1.266	-6.818	-3.371
0.3	0	-1.429	-1.205	0	1.149	0	-1.163	-2.326	-1.266	-6.818	-3.371
0.4	0	-1.429	-1.205	0	1.149	0	-1.163	-2.326	-1.266	-5.682	-2.247
0.5	0	-1.429	-1.205	0	0	-1.124	-1.163	-1.163	-1.266	-4.545	-2.247
0.6	0	0	0	1.333	1.149	0	-1.163	-1.163	-1.266	-3.409	-2.247
0.7	0	-1.429	-1.205	0	1.149	0	-1.163	-1.163	-1.266	-2.273	-2.247
0.8	0	-1.429	0	0	1.149	-1.124	-1.163	0	-1.266	-2.273	-2.247
0.9	0	0	0	0	1.149	-1.124	-1.163	-1.163	-1.266	-2.273	-1.124
1	0	0	-1.205	0	0	-1.124	-1.163	0	-1.266	0	-1.124
1.1	0	0	0	0	1.149	-1.124	-1.163	0	-1.266	0	-1.124
1.2	0	0	0	0	1.149	-1.124	-1.163	0	-1.266	1.136	-1.124
1.3	0	0	0	0	0	-1.124	-1.163	0	-1.266	1.136	-1.124
1.4	0	0	0	0	0	-1.124	-1.163	1.163	-1.266	1.136	0
1.5	0	0	0	0	0	-1.124	-1.163	0	-1.266	2.273	0
1.6	0	0	0	0	0	-1.124	-1.163	1.163	-1.266	3.409	0
1.7	0	0	0	0	0	-1.124	-1.163	1.163	-1.266	2.273	0
1.8	0	0	0	0	1.149	-1.124	-1.163	1.163	-1.266	3.409	0
1.9	0	0	0	0	1.149	-1.124	-1.163	2.326	-1.266	5.682	1.124
2	0	0	0	0	0	-1.124	-1.163	1.163	-1.266	3.409	1.124
2.1	0	0	0	0	0	-1.124	-1.163	0	-1.266	4.545	1.124
2.2	0	0	0	0	0	-1.124	-1.163	1.163	-1.266	5.682	1.124
2.3	0	0	0	0	0	-1.124	-1.163	1.163	-1.266	4.545	1.124
2.4	0	0	0	0	0	-1.124	-1.163	1.163	-1.266	5.682	1.124
2.5	0	0	0	0	0	-1.124	-2.326	1.163	-1.266	4.545	1.124
2.6	0	0	1.205	0	0	-1.124	-2.326	0	-1.266	3.409	1.124
2.7	0	0	0	0	0	-1.124	-2.326	0	-1.266	3.409	1.124
2.8	0	0	0	0	0	-1.124	-2.326	1.163	-1.266	3.409	1.124
2.9	0	0	1.205	0	0	-1.124	-2.326	0	-1.266	3.409	1.124
3	0	0	0	0	0	-1.124	-2.326	1.163	-1.266	3.409	1.124
3.1	0	0	0	0	-1.149	-1.124	-1.163	1.163	-1.266	3.409	1.124
3.2	0	0	1.205	0	0	-2.247	-2.326	0	-1.266	2.273	1.124
3.3	0	0	1.205	0	-1.149	-2.247	-2.326	0	-1.266	1.136	1.124
3.4	0	0	1.205	0	-1.149	-1.124	-2.326	0	-1.266	1.136	1.124
3.5	0	0	2.41	0	0	-2.247	-2.326	0	-1.266	0	1.124
3.6	0	1.429	1.205	0	-1.149	-1.124	-2.326	-1.163	-1.266	0	1.124
3.7	0	0	1.205	0	0	-2.247	-2.326	-1.163	-1.266	0	1.124
3.8	0	0	2.41	0	-1.149	-1.124	-2.326	-1.163	-1.266	-1.136	1.124
3.9	0	0	1.205	0	-1.149	-1.124	-2.326	-1.163	-1.266	-2.273	1.124
4	0	0	2.41	0	-1.149	-1.124	-2.326	-2.326	-1.266	-3.409	1.124
4.1	0	0	2.41	0	-1.149	-2.247	-2.326	-2.326	-1.266	-3.409	1.124
4.2	0	1.429	2.41	0	-1.149	-1.124	-2.326	-2.326	-1.266	-4.545	1.124
4.3	0	0	2.41	0	-1.149	-1.124	-2.326	-2.326	-1.266	-4.545	1.124
4.4	0	0	1.205	0	-2.299	-1.124	-1.163	-2.326	-1.266	-5.682	1.124
4.5	0	0	1.205	0	-2.299	-1.124	-2.326	-3.488	-1.266	-6.818	1.124
4.6	0	1.429	2.41	0	-1.149	-1.124	-1.163	-3.488	-1.266	-6.818	1.124
4.7	0	0	1.205	0	-2.299	-1.124	-2.326	-3.488	-1.266	-7.955	1.124
4.8	0	0	2.41	0	-2.299	-1.124	-2.326	-4.651	-1.266	-9.091	0
4.9	0	0	2.41	0	-1.149	-1.124	-2.326	-4.651	-1.266	-9.091	0
5	0	0	1.205	0	-3.448	-1.124	-1.163	-4.651	-1.266	-9.091	0
